Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active,Average_age
(G)I-DLE,,(??)???,2018/5/2,Cube,6,6,,Yes,20
15&,,?????,2012/10/5,JYP,2,2,,No,15
2EYES,,????,2013/7/20,SidusHQ,4,5,,No,19
2NE1,,????,2009/5/6,YG,4,4,Blackjack,No,21
3YE,,????,2019/5/21,GH,3,3,,Yes,21
4Minute,,???,2009/6/15,Cube,5,5,4nia,No,18
4TEN,,??,2014/8/26,Jungle,4,4,,Yes,21
9Muses,Nine Muses,?????,2010/8/12,Star Empire,4,9,MINE,No,23
A.DE,,????,2016/7/23,2ABLE,6,7,,No,20
ABRY,,????,2017/11/15,withHC,4,4,,Yes,24
After School,,?????,2009/1/15,Pledis,6,5,Playgirlz,No,24
AiRiSu,,????,2018/7/25,Jang,4,4,,Yes,25
ANS,,?????,2019/9/16,ANS,8,6,,Yes,20
AOA,,?????,2012/7/30,FNC,5,8,ELVIS,Yes,19
Apink,,????,2011/4/19,Plan A,6,7,Pink Panda,Yes,17
Apple.B,,???,2017/8/1,GH,5,5,,No,18
April,,????,2015/8/24,DSP,6,6,Fineapple,Yes,16
Ariaz,,????,2019/10/23,Rising Star,6,6,,Yes,21
Baby V.O.X,,?????,1997/7/5,DR Music,5,5,,No,16
Badkiz,,????,2014/3/24,Zoo,5,5,,Yes,22
Berry Good,,???,2014/5/21,Asia Bridge,6,5,,Yes,18
BESTie,,???,2013/7/11,YNB,4,4,BESTiny,No,21
BLACKPINK,,????,2016/8/8,YG,4,4,,Yes,20
Blady,,????,2011/5/16,Star Planet,5,4,Hi ade,No,20
Bloomy,,???,2016/2/1,DS,4,4,,Yes,20
Bob Girls,,????,2014/6/10,Chrome,4,4,,No,21
Bolbbalgan4,BOL4,??????,2016/4/22,Shofar,2,2,,Yes,20
Bonus Baby,,??????,2017/1/1,Maroo,6,6,,Hiatus,18
Brave Girls,,??????,2011/3/31,Brave,5,5,,Yes,21
Brown Eyed Girls,B.E.G.,??? ??? ??,2006/3/2,Mystic,4,4,Everlasting,Yes,23
Bulldok,,??,2016/10/20,Kconic,5,3,,No,24
Busters,,????,2017/11/27,JTG,5,5,Bu-Chu,Yes,15
BVNDIT,,???,2019/4/10,MNH,5,5,,Yes,21
C-REAL,,???,2011/10/11,NAP,3,5,,No,17
Camila,,???,2018/8/29,Camila,3,3,,No,26
Cherry Bullet,,????,2019/1/21,FNC,7,10,,Yes,19
Cherry On Top,,????,2018/8/9,United,4,4,,Yes,21
ChoColat,,???,2011/8/16,Paramount,5,5,Chocolatier,No,18
cignature,,????,2020/2/4,C9,7,7,,Yes,20
CLC,,???,2015/3/18,Cube,7,5,Chesire,Yes,19
CoCoSoRi,,????,2016/1/5,MOLE,2,2,,No,25
Crayon Pop,,????,2012/7/17,Chrome,4,5,,No,22
D-Unit,,???,2012/8/1,D-Business,2,3,Unique,No,22
D.Holic,,???,2014/10/29,H.Mate,4,5,,No,21
Dal Shabet,,???,2011/1/3,Happy Face,4,6,Darling,Hiatus,20
Davichi,,???,2008/2/4,CJ E&M,2,2,,Yes,20
Destiny,,????,2018/9/28,D-SIDE,4,4,,Yes,28
DIA,,???,2015/7/14,MBK,7,7,AID,Yes,20
Dorothy,,???,2016/8/16,Leek Mill,3,5,,No,25
DreamCatcher,,????,2017/1/13,Happy Face,7,7,,Yes,21
