Name,Date,Likes,Views,Comments
Agust D,2020-05-22,14797047,441791136,1368655
Yubin,2020-05-21,53399,1184969,2722
OnlyOneOf,2020-05-21,84254,7569079,3995
Ryu Sujeong,2020-05-20,43251,2663847,3500
Crush,2020-05-20,663484,18084352,31972
NCT 127,2020-05-19,1829874,45661763,459846
SECRET NUMBER,2020-05-19,1635946,47367906,454919
N.Flying,2020-05-18,29908,468229,1634
TXT,2020-05-18,3612939,74816077,593280
UNVS,2020-05-14,5085,162149,487
Busters,2020-05-13,26637,447494,2725
BOL4,2020-05-13,115563,4654422,4001
BVNDIT,2020-05-12,126685,1489738,6026
"Baek Z Young, Ong Seongwu",2020-05-12,60684,879686,2779
NU'EST,2020-05-11,458553,25209411,46009
DAY6,2020-05-11,1065286,19148026,79045
Moon Jongup,2020-05-07,26354,283192,2132
Natty,2020-05-07,389678,8746377,18464
BOL4,2020-05-07,681806,12350769,50423
IU,2020-05-06,5870073,177194396,292908
2Z,2020-05-05,17520,145493,1705
ASTRO,2020-05-04,1231720,32046540,117980
Taeyeon,2020-05-04,722572,11787086,36672
NCT DREAM,2020-04-29,2562655,83418680,436668
Bibi,2020-04-29,494974,17826542,8801
Minseo,2020-04-28,28739,700147,891
GWSN,2020-04-28,199970,26634738,12987
Oh My Girl,2020-04-27,1185827,92798443,58866
Chungha,2020-04-27,908649,27162258,27987
Noir,2020-04-26,114058,1245838,6564
Ben,2020-04-26,13105,190834,1119
Solar,2020-04-23,1088270,24224136,51091
ZICO X Kang Daniel,2020-04-23,249313,12350928,8923
APRIL,2020-04-22,248093,8356029,27243
H&D,2020-04-22,70202,790311,5575
H&D,2020-04-21,105538,1486308,11792
GOT7,2020-04-20,2509548,93734723,605207
BVNDIT,2020-04-20,21609,332244,763
Zelo,2020-04-18,18513,195364,1185
MONSTA X,2020-04-17,724340,16321725,34322
CRAVITY,2020-04-14,640380,15782306,61656
Apink,2020-04-13,743604,42559746,71176
Girlkind,2020-04-13,12928,260404,1000
KEEMBO,2020-04-10,5324,57141,326
WINNER,2020-04-09,496014,25919069,35566
MCND,2020-04-09,425492,14762902,36667
DALsooobin,2020-04-09,4454,160173,537
UNVS,2020-04-08,9392,110718,443
Stella Jang,2020-04-07,526698,18541859,9975
(G)I-DLE,2020-04-06,3331568,211533921,210392
MAX Changmin,2020-04-06,332736,6545141,17269
cignature,2020-04-05,152386,3093384,7156
Hong Jinyoung,2020-04-01,68484,3052238,3485
CIX,2020-03-31,152782,5822594,9174
TOO,2020-03-30,163366,2133305,6568
MONSTA X,2020-03-30,120911,1883550,12426
SUHO (EXO),2020-03-30,1242203,14469821,406183
WINNER,2020-03-26,851050,18644262,50578
Kang Daniel,2020-03-24,362002,8275572,23868
Oneus,2020-03-24,366614,9029057,26584
Seventeen,2020-03-23,911359,47507136,63678
Kisum,2020-03-22,10343,215306,551
Daydream,2020-03-20,2601,38480,291
Hong Eunki,2020-03-15,15504,161493,595
Eyedi,2020-03-13,8789,159495,600
AB6IX,2020-03-12,115820,5242976,6050
DONGKIZ,2020-03-11,86078,1348371,6358
Dreamcatcher,2020-03-11,219842,5953158,9612
Favorite,2020-03-10,42680,761557,1775
Stray Kids,2020-03-09,142726,2081023,3941
ITZY,2020-03-09,6542168,529264492,337312
VICTON,2020-03-08,325135,18993223,23006
BTS,2020-03-05,12961208,496633391,1206507
NCT 127,2020-03-05,4083536,180573334,440030
VIINI,2020-03-04,159580,2353070,7806
Dreamcatcher,2020-03-04,108617,2874618,5731
CRAXY,2020-03-03,121246,3434635,21120
FTISLAND,2020-03-01,15128,448789,782
Chungha,2020-02-29,122451,2218571,2529
BTS,2020-02-28,12676319,329607504,2733775
Lim Kim,2020-02-28,31051,725495,2141
SF9,2020-02-27,31950,1014136,1348
MCND,2020-02-27,933348,30112123,56873
ELRIS,2020-02-26,69415,2221122,4330
AleXa,2020-02-24,140273,3315340,5572
UNVS,2020-02-22,25434,287761,1028
BTS,2020-02-21,14414938,585675702,1780024
ELRIS,2020-02-21,22079,846947,1253
3YE,2020-02-21,165287,9512827,7232
Weki Meki,2020-02-20,250479,6801539,9542
AB6IX,2020-02-20,73825,3236091,2589
Dreamcatcher,2020-02-18,1016454,49029862,67586
HighSchool,2020-02-18,5104,46560,821
IZ*One,2020-02-17,1413912,111269764,129082
AB6IX,2020-02-13,133337,4246280,6514
Sumin+Zion.T,2020-02-12,20320,502294,579
BLACK6IX,2020-02-12,5139,35044,566
